id_cliente,uf,municipio,segmento_cliente,natureza_juridica,fonte_cliente,cnae_codigo,capital_social,idade_cnpj,serasa_contagem_negativacoes,serasa_contagem_protestos,serasa_credores,serasa_socio_tem_negativacao,ifood_contagem_avaliacoes,ifood_faixa_preco,google_maps_avaliacao,google_maps_contagem_avaliacoes,google_maps_tem_website,inadimplente
7052965805699,CE,FORTALEZA,Segmento 2,206-2 - Sociedade Empresária Limitada,Fonte 5,53.23-6-84,"(8000, 10000]","(3000, 4000]",1.0,0.0,,0.0,"(30, 50]",$$,,,,0.0
7054809873554,CE,FORTALEZA,Segmento 15,213-5 - Empresário (Individual),Fonte 5,12.74-7-32,"(1500, 2000]","(450, 600]",0.0,0.0,,0.0,,,,,,1.0
7059537847261,CE,FORTALEZA,Segmento 5,213-5 - Empresário (Individual),Fonte 1,53.23-6-24,"(10000, 15000]","(2400, 3000]",0.0,0.0,,0.0,,$,,"(100, 200]",1.0,0.0
7060661547259,CE,CAUCAIA,Segmento 20,213-5 - Empresário (Individual),Fonte 1,53.23-6-24,"(8000, 10000]","(3000, 4000]",1.0,0.0,Alimentos e Bebidas,1.0,,,,,,0.0
7061397141115,CE,CAUCAIA,Segmento 20,206-2 - Sociedade Empresária Limitada,Fonte 1,53.23-6-24,"(15000, 20000]","(450, 600]",0.0,0.0,,0.0,,,,,,1.0
7062723468567,CE,FORTALEZA,Segmento 19,213-5 - Empresário (Individual),Fonte 5,53.23-6-24,"(200, 1000]","(1150, 1300]",0.0,0.0,,1.0,,,,,,1.0
7064880504092,CE,ARACATI,Segmento 16,213-5 - Empresário (Individual),Fonte 1,53.23-6-84,"(200, 1000]","(3000, 4000]",0.0,0.0,,0.0,,,,,,0.0
7067218488801,CE,FORTALEZA,Segmento 20,213-5 - Empresário (Individual),Fonte 1,53.23-6-84,"(200, 1000]","(1150, 1300]",0.0,0.0,,1.0,"(200, 500]",$$$$,,,,0.0
7067304845418,CE,FORTALEZA,Segmento 10,206-2 - Sociedade Empresária Limitada,Fonte 1,77.12-9-28,"(70000, 100000]","(350, 450]",0.0,0.0,,0.0,,,,,,0.0
7067619298778,CE,CAUCAIA,Segmento 9,213-5 - Empresário (Individual),Fonte 5,79.18-3-82,"(5000, 8000]","(3000, 4000]",3.0,0.0,Indústria,1.0,,,,,,1.0
7068621049836,CE,MARACANAU,Segmento 16,213-5 - Empresário (Individual),Fonte 1,77.49-8-16,"(0, 1]","(4000, 5000]",0.0,0.0,,0.0,,,,,,0.0
7068716517724,CE,FORTALEZA,Segmento 20,213-5 - Empresário (Individual),Fonte 1,53.23-6-24,"(3000, 5000]","(3000, 4000]",0.0,0.0,,0.0,,$,,"(50, 100]",1.0,0.0
7078241921456,CE,FORTALEZA,Segmento 18,213-5 - Empresário (Individual),Fonte 1,53.23-6-84,"(30000, 50000]","(50, 100]",0.0,0.0,,0.0,,,,,,1.0
7078445729864,CE,FORTALEZA,Segmento 20,206-2 - Sociedade Empresária Limitada,Fonte 1,53.35-1-92,"(8000, 10000]","(900, 1150]",0.0,0.0,,1.0,,,,,,0.0
7081858788456,CE,FORTALEZA,Segmento 16,206-2 - Sociedade Empresária Limitada,Fonte 1,77.33-2-77,"(8000, 10000]","(5000, 8000]",9.0,0.0,Saúde,0.0,,,,,,0.0
7082587713588,CE,FORTALEZA,Segmento 15,213-5 - Empresário (Individual),Fonte 1,53.77-2-48,"(2000, 3000]","(1300, 1600]",0.0,0.0,,1.0,,,,,,1.0
7082884087831,CE,FORTALEZA,Segmento 16,213-5 - Empresário (Individual),Fonte 1,77.74-5-45,"(3000, 5000]","(600, 750]",0.0,0.0,,0.0,,,,,,0.0
7085184591078,CE,ITAITINGA,Segmento 16,213-5 - Empresário (Individual),Fonte 5,64.23-9-54,"(8000, 10000]","(25, 50]",0.0,0.0,,1.0,,,,,,1.0
7089102340629,CE,FORTALEZA,Segmento 20,206-2 - Sociedade Empresária Limitada,Fonte 5,53.23-6-84,"(30000, 50000]","(8000, 25000]",0.0,0.0,,0.0,,,,"(20, 30]",1.0,0.0
7094121178218,CE,CAUCAIA,Segmento 17,213-5 - Empresário (Individual),Fonte 5,78.78-2-60,"(200, 1000]","(350, 450]",0.0,0.0,,1.0,,,,,,0.0
7099935841894,CE,AQUIRAZ,Segmento 9,213-5 - Empresário (Individual),Fonte 1,77.59-9-78,"(8000, 10000]","(100, 150]",0.0,0.0,,0.0,,,,,,1.0
7101235459408,CE,FORTALEZA,Segmento 20,213-5 - Empresário (Individual),Fonte 1,53.23-6-84,"(15000, 20000]","(4000, 5000]",0.0,6.0,,1.0,,,,"(50, 100]",1.0,0.0
7105601805670,CE,JAGUARUANA,Segmento 15,213-5 - Empresário (Individual),Fonte 1,53.35-1-92,"(10000, 15000]","(2000, 2400]",0.0,0.0,,1.0,,,,,,1.0
7107585852173,CE,CHOROZINHO,Segmento 5,206-2 - Sociedade Empresária Limitada,Fonte 1,53.23-6-24,"(15000, 20000]","(8000, 25000]",0.0,0.0,,0.0,,,,,,0.0
7109672131030,CE,FORTALEZA,Segmento 9,206-2 - Sociedade Empresária Limitada,Fonte 5,77.36-5-30,"(200000, 1000000]","(2400, 3000]",0.0,0.0,,0.0,,,,,,1.0
7114973502820,CE,CAUCAIA,Segmento 16,213-5 - Empresário (Individual),Fonte 5,37.85-9-40,"(3000, 5000]","(600, 750]",0.0,0.0,,0.0,,,,,,0.0
7114980118748,CE,FORTALEZA,Segmento 11,213-5 - Empresário (Individual),Fonte 5,79.18-3-96,"(200, 1000]","(1600, 2000]",0.0,0.0,,1.0,,,,,,1.0
7116687887567,CE,FORTALEZA,Segmento 18,213-5 - Empresário (Individual),Fonte 1,53.23-6-84,"(30000, 50000]","(2400, 3000]",0.0,0.0,,0.0,"(30, 50]",$,,,,1.0
7122354415231,CE,FORTALEZA,Segmento 17,213-5 - Empresário (Individual),Fonte 1,77.28-1-51,"(8000, 10000]","(1150, 1300]",0.0,0.0,,1.0,,,,,,0.0
7122932676590,CE,FORTALEZA,Segmento 16,213-5 - Empresário (Individual),Fonte 1,77.74-5-45,"(15000, 20000]","(4000, 5000]",0.0,0.0,,1.0,,,,,,0.0
7123576157881,CE,FORTALEZA,Segmento 10,213-5 - Empresário (Individual),Fonte 1,53.23-6-74,"(8000, 10000]","(50, 100]",0.0,0.0,,0.0,,,,,,0.0
7123895355537,CE,FORTALEZA,Segmento 16,213-5 - Empresário (Individual),Fonte 1,77.74-5-45,"(1500, 2000]","(1600, 2000]",0.0,0.0,,0.0,,,,,,0.0
7125400308395,CE,FORTALEZA,Segmento 7,206-2 - Sociedade Empresária Limitada,Fonte 1,77.74-5-45,"(15000, 20000]","(2000, 2400]",0.0,0.0,,0.0,,,,,,0.0
7125704084097,CE,CAUCAIA,Segmento 3,213-5 - Empresário (Individual),Fonte 1,53.23-6-77,"(5000, 8000]","(1150, 1300]",0.0,0.0,,0.0,,,,,,0.0
7129188114498,CE,CAUCAIA,Segmento 20,213-5 - Empresário (Individual),Fonte 1,53.23-6-84,"(200, 1000]","(450, 600]",0.0,0.0,,1.0,,,,,,1.0
7132084692820,CE,FORTALEZA,Segmento 20,213-5 - Empresário (Individual),Fonte 1,53.23-6-24,"(8000, 10000]","(3000, 4000]",5.0,0.0,Telecomunicações,1.0,,,,,,1.0
7133039619452,CE,FORTALEZA,Segmento 20,213-5 - Empresário (Individual),Fonte 5,53.23-6-24,"(1000, 1500]","(3000, 4000]",0.0,0.0,,1.0,,,,,,0.0
7133661703017,CE,ACARAPE,Segmento 18,213-5 - Empresário (Individual),Fonte 1,53.23-6-84,"(8000, 10000]","(3000, 4000]",0.0,0.0,,0.0,,,,,,0.0
7140767637954,CE,FORTALEZA,Segmento 20,213-5 - Empresário (Individual),Fonte 1,25.20-4-80,"(200, 1000]","(3000, 4000]",0.0,0.0,,0.0,,,,,,0.0
7143206041495,CE,FORTALEZA,Segmento 20,213-5 - Empresário (Individual),Fonte 5,53.23-6-84,"(3000, 5000]","(1150, 1300]",2.0,0.0,Bancos e Financeiro,1.0,,,,,,1.0
7144638953060,CE,FORTALEZA,Segmento 20,213-5 - Empresário (Individual),Fonte 1,30.27-4-51,"(0, 1]","(1300, 1600]",0.0,0.0,,0.0,,,,,,0.0
7147469539613,CE,PINDORETAMA,Segmento 17,213-5 - Empresário (Individual),Fonte 1,77.28-1-51,"(20000, 30000]","(1300, 1600]",0.0,0.0,,1.0,,,,,,0.0
7149749261898,CE,FORTALEZA,Segmento 16,213-5 - Empresário (Individual),Fonte 1,77.74-5-45,"(70000, 100000]","(4000, 5000]",0.0,0.0,,0.0,,,,,,0.0
7152681662309,CE,CAUCAIA,Segmento 15,213-5 - Empresário (Individual),Fonte 1,25.41-1-77,"(70000, 100000]","(450, 600]",1.0,0.0,Bancos e Financeiro,1.0,,,,,,1.0
7152835992641,CE,FORTALEZA,Segmento 2,206-2 - Sociedade Empresária Limitada,Fonte 5,53.23-6-84,"(8000, 10000]","(3000, 4000]",1.0,0.0,,0.0,"(30, 50]",$$,,,,0.0
7154084891533,CE,FORTALEZA,Segmento 16,213-5 - Empresário (Individual),Fonte 1,77.74-5-45,"(8000, 10000]","(8000, 25000]",0.0,0.0,,0.0,,,,,,0.0
7161327525516,CE,EUSEBIO,Segmento 20,213-5 - Empresário (Individual),Fonte 1,53.35-1-24,"(3000, 5000]","(900, 1150]",0.0,0.0,,0.0,,,,,,0.0
7161352259709,CE,CAUCAIA,Segmento 10,213-5 - Empresário (Individual),Fonte 1,39.87-6-92,"(3000, 5000]","(1150, 1300]",0.0,0.0,,0.0,,,,,,0.0
