id_cliente,tier,score_A,score_B,default_prob,decision,credit_limit,expected_loss,inadimplente
1436514157099,APPLICATION,0.0,0.536,0.732,AUTO-DENY,0,0.0,0
1439384628215,BEHAVIORAL,0.6125,0.9117,0.3906,AUTO-DENY,0,0.0,0
1440579287096,APPLICATION,0.0,0.4178,0.2089,MANUAL,0,0.0,0
1448193619455,BEHAVIORAL,0.5178,0.9563,0.2244,AUTO-APPROVE,10000,2244.0,0
1453583707260,MANUAL_REVIEW,0.0,0.9458,0.5271,AUTO-DENY,0,0.0,0
1457019641001,MANUAL_REVIEW,0.0,0.979,0.5105,AUTO-DENY,0,0.0,0
1463602940723,APPLICATION,0.0,0.1517,0.0758,AUTO-APPROVE,20000,1516.0000000000002,0
1464202399207,MANUAL_REVIEW,0.0,0.6735,0.6632,AUTO-DENY,0,0.0,0
1464955346759,APPLICATION,0.0,0.4637,0.2319,MANUAL,0,0.0,0
1470086302067,MANUAL_REVIEW,0.0,0.6835,0.3417,AUTO-APPROVE,8000,2733.6,1
1471121757302,MANUAL_REVIEW,0.0,0.8309,0.5845,AUTO-DENY,0,0.0,0
1471131933211,MANUAL_REVIEW,0.0,0.6189,0.6905,AUTO-DENY,0,0.0,0
1472300490880,BEHAVIORAL,1.0,0.2997,0.0667,AUTO-APPROVE,25000,1667.4999999999998,0
1480510128698,APPLICATION,0.0,0.1865,0.9067,AUTO-DENY,0,0.0,1
1481138805834,MANUAL_REVIEW,0.0,0.8397,0.4199,AUTO-DENY,0,0.0,1
1486443080553,APPLICATION,0.0,0.586,0.707,AUTO-DENY,0,0.0,1
1486701348343,APPLICATION,0.0,0.4628,0.7686,AUTO-DENY,0,0.0,1
1486721502135,MANUAL_REVIEW,0.0,0.8994,0.5503,AUTO-DENY,0,0.0,0
1487384555704,APPLICATION,0.0,0.3819,0.191,MANUAL,0,0.0,0
1491922016382,APPLICATION,0.0,0.5382,0.2691,AUTO-DENY,0,0.0,0
1494701830663,MANUAL_REVIEW,0.0,0.7264,0.6368,AUTO-DENY,0,0.0,1
1495537461525,BEHAVIORAL,0.75,0.8397,0.1772,AUTO-APPROVE,15000,2658.0,0
1496577651132,MANUAL_REVIEW,0.0,0.7979,0.601,AUTO-DENY,0,0.0,1
1499240149369,APPLICATION,0.0,0.2129,0.1065,AUTO-APPROVE,12000,1278.0,0
1501179998866,MANUAL_REVIEW,0.0,0.9092,0.5454,AUTO-DENY,0,0.0,1
1503156108621,APPLICATION,0.0,0.5661,0.7169,AUTO-DENY,0,0.0,1
1504585028147,BEHAVIORAL,0.5643,0.8393,0.3722,AUTO-DENY,0,0.0,1
1510746901120,MANUAL_REVIEW,0.0,0.8031,0.4015,AUTO-DENY,0,0.0,0
1510770186660,MANUAL_REVIEW,0.0,0.9676,0.5162,AUTO-DENY,0,0.0,0
1513946613478,MANUAL_REVIEW,0.0,0.6413,0.3206,AUTO-APPROVE,8000,2564.8,0
1514121240652,BEHAVIORAL,0.8,0.6047,0.2812,MANUAL,0,0.0,0
1514548148299,APPLICATION,0.0,0.5812,0.7094,AUTO-DENY,0,0.0,0
1517134345517,MANUAL_REVIEW,0.0,0.7662,0.3831,AUTO-APPROVE,8000,3064.8,0
1519345028979,MANUAL_REVIEW,0.0,0.697,0.6515,AUTO-DENY,0,0.0,0
1522164474897,APPLICATION,0.0,0.5479,0.7261,AUTO-DENY,0,0.0,1
1534347435492,MANUAL_REVIEW,0.0,0.9283,0.4642,AUTO-DENY,0,0.0,0
1535557101731,BEHAVIORAL,0.95,0.5811,0.4019,AUTO-DENY,0,0.0,0
1535900141333,APPLICATION,0.0,0.2985,0.8508,AUTO-DENY,0,0.0,1
1536699638968,APPLICATION,0.0,0.5538,0.7231,AUTO-DENY,0,0.0,1
1539203568499,MANUAL_REVIEW,0.0,0.8927,0.5537,AUTO-DENY,0,0.0,1
1547006260289,BEHAVIORAL,0.8,0.4988,0.2652,MANUAL,0,0.0,0
1547073898634,MANUAL_REVIEW,0.0,0.8817,0.4409,AUTO-DENY,0,0.0,1
1547840603639,APPLICATION,0.0,0.4338,0.2169,MANUAL,0,0.0,1
